"participant","minutes","n_previous_marathons","age","gender","hills","weather"
213,386,5,44,"Female",14,"Sunny"
11,266,12,48,"Female",10,"Cloudy"
153,291,6,39,"Female",8,"Sunny"
68,206,9,26,"Male",9,"Sunny"
219,222,9,25,"Female",11,"Cloudy"
383,365,6,28,"Female",-999,"Sunny"
257,392,4,34,"Male",9,"Cloudy"
3,376,6,26,"Female",8,"Cloudy"
217,313,6,34,"Male",14,"Light Rain"
330,303,11,56,"Male",11,"Sunny"
484,274,8,23,"Female",12,"Sunny"
321,239,10,21,"Male",4,"Cloudy"
513,271,10,34,"Female",6,"Cloudy"
306,293,7,33,"Male",7,"Cloudy"
47,280,5,36,"Male",12,"Cloudy"
284,431,5,40,"Female",9,"Sunny"
326,345,3,44,"Female",8,"Sunny"
245,370,6,44,"Male",6,"Sunny"
250,215,8,29,"Female",8,"Cloudy"
183,365,8,48,"Female",9,"Cloudy"
417,257,12,43,"Female",14,"Sunny"
402,220,4,20,"Male",10,"Sunny"
263,249,8,24,"Male",7,"Sunny"
278,453,7,36,"Female",12,"Sunny"
504,325,3,47,"Male",11,"Sunny"
91,333,4,29,"Female",10,"Heavy Rain"
314,385,3,35,"Female",7,"Cloudy"
297,361,13,34,"Male",16,"Cloudy"
365,308,6,13,"Female",6,"Cloudy"
436,363,8,40,"Female",14,"Sunny"
576,404,8,55,"Female",10,"Cloudy"
195,252,11,26,"Female",9,"Cloudy"
157,424,7,46,"Female",13,"Cloudy"
214,212,8,37,"Male",8,"Light Rain"
430,292,10,45,"Female",8,"Sunny"
268,310,6,41,"Female",8,"Cloudy"
33,228,8,28,"Male",11,"Sunny"
556,370,7,29,"Female",10,"Sunny"
15,403,4,31,"Female",12,"Sunny"
368,394,2,33,"Male",5,"Light Rain"
529,273,14,23,"Female",10,"Cloudy"
401,161,13,28,"Male",13,"Cloudy"
212,386,5,37,"Female",12,"Cloudy"
547,387,3,29,"Female",14,"Cloudy"
269,335,2,32,"Male",9,"Sunny"
379,390,6,26,"Female",15,"Sunny"
92,265,8,13,"Male",14,"Cloudy"
521,289,6,23,"Male",10,"Sunny"
52,198,6,15,"Male",13,"Cloudy"
124,459,5,48,"Female",16,"Cloudy"
178,420,7,32,"Female",13,"Cloudy"
108,274,8,43,"Male",11,"Light Rain"
557,275,8,20,"Female",8,"Sunny"
398,428,4,34,"Female",11,"Cloudy"
470,327,9,50,"Female",10,"Sunny"
179,312,10,39,"Male",8,"Cloudy"
497,460,5,39,"Female",13,"Sunny"
573,348,7,24,"Female",14,"Sunny"
502,234,6,28,"Male",10,"Sunny"
519,382,3,26,"Female",10,"Cloudy"
431,321,12,52,"Male",6,"Sunny"
80,398,4,17,"Female",11,"Light Rain"
552,345,5,34,"Male",14,"Cloudy"
392,415,5,47,"Female",14,"Sunny"
78,362,8,36,"Female",10,"Cloudy"
95,380,6,29,"Male",7,"Sunny"
251,475,5,43,"Female",19,"Sunny"
448,365,4,30,"Male",7,"Cloudy"
563,229,9,21,"Other",7,"Cloudy"
416,441,5,46,"Female",9,"Cloudy"
285,424,3,25,"Female",14,"Cloudy"
38,413,5,33,"Female",13,"Heavy Rain"
575,327,12,50,"Female",8,"Cloudy"
468,270,8,33,"Male",7,"Cloudy"
24,194,14,42,"Male",7,"Light Rain"
90,387,5,38,"Male",12,"Cloudy"
476,456,6,54,"Male",13,"Cloudy"
232,322,6,30,"Female",16,"Cloudy"
426,318,8,38,"Female",6,"Sunny"
59,261,10,10,"Male",11,"Heavy Rain"
487,407,4,43,"Female",6,"Cloudy"
75,331,7,40,"Other",15,"Cloudy"
412,276,10,33,"Male",8,"Cloudy"
541,273,9,27,"Male",8,"Heavy Rain"
65,383,9,43,"Female",9,"Cloudy"
372,282,6,32,"Female",7,"Sunny"
84,338,9,24,"Female",10,"Sunny"
23,254,8,22,"Female",7,"Cloudy"
32,267,11,23,"Female",7,"Sunny"
226,414,6,41,"Female",12,"Sunny"
189,338,11,51,"Male",12,"Cloudy"
49,322,5,25,"Male",-999,"Cloudy"
34,403,9,50,"Female",7,"Sunny"
534,348,9,50,"Male",12,"Sunny"
25,318,8,30,"Female",4,"Sunny"
421,369,7,25,"Female",10,"Cloudy"
483,445,6,35,"Female",18,"Sunny"
399,422,4,39,"Female",15,"Sunny"
116,261,4,9,"Female",14,"Sunny"
137,346,9,42,"Female",12,"Cloudy"
109,324,6,30,"Male",8,"Sunny"
319,335,6,23,"Male",11,"Sunny"
475,329,8,38,"Male",12,"Sunny"
283,236,6,23,"Male",5,"Sunny"
356,210,13,27,"Female",10,"Cloudy"
223,261,8,28,"Male",11,"Cloudy"
233,338,7,21,"Female",7,"Sunny"
67,363,9,39,"Female",8,"Cloudy"
396,424,5,60,"Male",13,"Cloudy"
400,213,14,19,"Female",14,"Sunny"
94,319,8,27,"Male",12,"Sunny"
376,152,12,15,"Female",3,"Sunny"
347,210,13,27,"Female",8,"Cloudy"
374,390,7,29,"Female",13,"Cloudy"
598,253,6,31,"Female",10,"Sunny"
456,215,10,34,"Female",13,"Sunny"
146,387,5,37,"Male",6,"Light Rain"
323,420,4,43,"Female",15,"Light Rain"
303,352,9,35,"Female",9,"Sunny"
441,433,5,42,"Female",9,"Heavy Rain"
12,418,7,43,"Female",6,"Sunny"
542,464,4,62,"Female",11,"Sunny"
510,373,6,33,"Female",13,"Sunny"
204,334,7,43,"Female",11,"Cloudy"
569,299,7,30,"Male",15,"Sunny"
492,389,3,26,"Male",9,"Cloudy"
590,267,7,39,"Male",7,"Cloudy"
600,357,3,37,"Male",7,"Sunny"
317,238,10,30,"Male",7,"Sunny"
341,301,6,27,"Male",15,"Sunny"
265,272,7,23,"Female",8,"Light Rain"
156,284,6,8,"Female",9,"Light Rain"
585,251,10,40,"Male",6,"Sunny"
442,307,7,45,"Male",10,"Light Rain"
194,306,8,24,"Female",9,"Cloudy"
329,373,6,21,"Female",12,"Cloudy"
451,393,7,50,"Male",11,"Cloudy"
138,319,9,46,"Male",6,"Sunny"
41,388,4,41,"Female",11,"Sunny"
558,437,7,31,"Female",11,"Cloudy"
275,266,9,31,"Male",17,"Sunny"
562,308,11,36,"Male",17,"Cloudy"
415,398,5,49,"Female",7,"Sunny"
298,277,4,16,"Female",14,"Sunny"
445,196,10,37,"Male",9,"Cloudy"
253,346,7,46,"Male",9,"Cloudy"
101,325,8,34,"Female",3,"Cloudy"
361,401,4,44,"Other",8,"Sunny"
171,374,8,55,"Female",10,"Cloudy"
142,403,6,40,"Female",12,"Cloudy"
315,382,6,46,"Female",9,"Cloudy"
10,362,7,55,"Female",8,"Sunny"
240,258,9,33,"Male",9,"Sunny"
310,199,7,27,"Male",7,"Sunny"
242,288,8,30,"Female",17,"Sunny"
64,382,5,45,"Male",12,"Sunny"
276,435,9,49,"Male",18,"Sunny"
29,334,5,48,"Other",13,"Sunny"
164,377,6,31,"Female",9,"Cloudy"
58,385,9,35,"Female",11,"Light Rain"
192,347,6,49,"Female",9,"Sunny"
394,266,9,27,"Male",12,"Sunny"
9,320,7,47,"Male",10,"Light Rain"
128,260,4,35,"Female",13,"Sunny"
196,309,7,21,"Male",12,"Light Rain"
517,364,7,33,"Female",12,"Sunny"
282,342,4,34,"Male",11,"Sunny"
61,299,8,33,"Female",9,"Cloudy"
295,361,9,40,"Female",5,"Cloudy"
578,537,2,53,"Female",13,"Light Rain"
13,220,8,18,"Male",12,"Sunny"
5,276,11,31,"Male",9,"Cloudy"
145,314,10,29,"Female",11,"Sunny"
390,202,5,14,"Male",8,"Light Rain"
453,429,5,40,"Female",12,"Sunny"
96,314,5,50,"Other",4,"Sunny"
197,282,6,37,"Female",4,"Sunny"
144,296,5,33,"Male",21,"Sunny"
313,377,8,52,"Female",13,"Sunny"
354,377,4,20,"Female",14,"Sunny"
331,379,8,28,"Female",14,"Cloudy"
174,216,9,33,"Female",14,"Cloudy"
296,211,9,23,"Male",11,"Sunny"
485,171,11,22,"Female",5,"Cloudy"
198,250,8,37,"Male",12,"Sunny"
586,468,4,40,"Female",11,"Sunny"
428,305,6,37,"Female",4,"Cloudy"
333,324,9,40,"Female",10,"Cloudy"
208,337,5,14,"Female",19,"Sunny"
395,300,4,20,"Male",8,"Light Rain"
7,258,7,15,"Male",12,"Cloudy"
243,474,4,42,"Female",13,"Heavy Rain"
155,422,4,44,"Female",8,"Light Rain"
500,302,9,41,"Male",10,"Light Rain"
300,360,9,54,"Female",8,"Sunny"
104,291,12,35,"Male",12,"Sunny"
103,302,7,29,"Female",7,"Cloudy"
478,415,0,32,"Female",8,"Cloudy"
151,336,10,49,"Female",8,"Light Rain"
525,322,7,32,"Female",8,"Cloudy"
161,332,7,44,"Male",10,"Cloudy"
119,349,7,40,"Male",17,"Cloudy"
404,308,7,36,"Female",6,"Sunny"
495,340,4,33,"Male",10,"Sunny"
511,284,7,10,"Female",10,"Sunny"
473,392,6,40,"Female",11,"Cloudy"
343,284,7,37,"Female",13,"Cloudy"
2,159,9,27,"Male",7,"Light Rain"
122,354,6,38,"Female",18,"Cloudy"
335,337,6,21,"Male",12,"Sunny"
444,359,4,42,"Male",8,"Cloudy"
206,304,10,34,"Male",14,"Cloudy"
506,328,5,36,"Female",15,"Light Rain"
43,410,6,52,"Female",6,"Cloudy"
371,325,6,30,"Female",12,"Cloudy"
385,262,7,25,"Male",13,"Sunny"
574,431,6,44,"Female",12,"Sunny"
140,388,6,47,"Other",9,"Sunny"
498,367,3,31,"Male",10,"Cloudy"
130,296,8,21,"Male",9,"Cloudy"
325,339,4,26,"Male",3,"Sunny"
19,379,6,52,"Male",7,"Cloudy"
1,364,5,28,"Female",11,"Cloudy"
235,443,5,54,"Other",5,"Cloudy"
554,182,10,23,"Male",13,"Sunny"
228,319,7,36,"Female",7,"Cloudy"
503,346,5,44,"Female",5,"Cloudy"
26,272,8,42,"Male",19,"Cloudy"
40,373,5,34,"Male",11,"Cloudy"
66,279,6,33,"Female",9,"Light Rain"
509,285,11,38,"Male",8,"Cloudy"
267,390,6,40,"Female",9,"Cloudy"
332,300,5,16,"Female",12,"Sunny"
147,437,5,39,"Female",9,"Sunny"
56,463,5,38,"Female",13,"Sunny"
528,346,2,16,"Female",14,"Cloudy"
166,378,7,47,"Female",11,"Cloudy"
309,400,7,32,"Male",14,"Heavy Rain"
209,363,4,37,"Female",11,"Cloudy"
320,209,10,50,"Male",7,"Light Rain"
141,310,6,23,"Female",9,"Cloudy"
443,349,9,59,"Female",9,"Light Rain"
449,390,6,59,"Female",13,"Sunny"
537,395,6,17,"Female",11,"Cloudy"
277,378,12,42,"Female",9,"Sunny"
467,395,5,48,"Female",9,"Cloudy"
54,493,4,36,"Female",14,"Cloudy"
134,245,9,25,"Female",10,"Cloudy"
281,401,9,32,"Female",11,"Cloudy"
105,390,7,42,"Female",13,"Sunny"
375,332,7,36,"Male",7,"Cloudy"
324,352,8,37,"Female",12,"Sunny"
460,373,4,33,"Male",7,"Sunny"
413,316,5,34,"Female",0,"Cloudy"
180,261,7,33,"Female",7,"Cloudy"
247,300,6,23,"Male",8,"Cloudy"
132,308,10,39,"Female",14,"Cloudy"
246,281,8,44,"Other",14,"Light Rain"
462,315,6,41,"Male",9,"Cloudy"
190,287,11,31,"Female",8,"Sunny"
381,327,7,39,"Male",13,"Cloudy"
170,387,5,46,"Female",8,"Light Rain"
516,458,4,43,"Male",7,"Sunny"
294,262,10,32,"Female",6,"Sunny"
539,300,7,36,"Male",8,"Cloudy"
79,309,6,35,"Male",-999,"Cloudy"
463,459,7,41,"Female",12,"Cloudy"
579,391,7,47,"Female",9,"Cloudy"
425,260,10,35,"Male",8,"Cloudy"
581,301,10,40,"Female",11,"Sunny"
255,300,7,52,"Male",11,"Sunny"
355,352,8,40,"Other",13,"Cloudy"
234,302,3,36,"Female",4,"Cloudy"
531,292,11,46,"Female",6,"Light Rain"
366,242,9,35,"Male",10,"Cloudy"
377,285,9,24,"Female",9,"Sunny"
514,347,6,37,"Male",-999,"Cloudy"
465,360,7,39,"Male",13,"Sunny"
152,368,7,45,"Male",9,"Sunny"
409,316,6,37,"Female",10,"Light Rain"
289,295,3,41,"Male",11,"Sunny"
222,337,12,34,"Female",12,"Cloudy"
163,292,8,40,"Other",6,"Cloudy"
523,391,6,34,"Female",14,"Sunny"
93,321,6,44,"Female",6,"Sunny"
344,264,5,41,"Female",12,"Cloudy"
191,394,5,34,"Female",14,"Cloudy"
280,355,8,35,"Female",13,"Cloudy"
403,170,11,28,"Male",7,"Cloudy"
570,329,10,52,"Female",12,"Sunny"
358,364,6,40,"Male",17,"Cloudy"
583,308,10,33,"Male",7,"Cloudy"
488,278,8,15,"Female",8,"Sunny"
74,508,0,43,"Female",12,"Sunny"
471,362,4,18,"Female",16,"Light Rain"
211,314,7,34,"Male",11,"Cloudy"
270,189,7,36,"Male",9,"Sunny"
527,292,11,31,"Female",9,"Sunny"
440,325,4,45,"Male",9,"Cloudy"
507,279,7,34,"Female",7,"Cloudy"
36,320,7,14,"Female",14,"Sunny"
550,342,6,35,"Female",13,"Sunny"
18,319,3,22,"Female",12,"Sunny"
382,355,9,45,"Male",11,"Sunny"
312,273,7,23,"Female",4,"Sunny"
493,467,7,44,"Female",11,"Heavy Rain"
181,257,10,35,"Male",10,"Cloudy"
176,242,8,37,"Male",11,"Sunny"
254,365,5,37,"Female",13,"Cloudy"
123,350,6,36,"Male",12,"Sunny"
148,419,3,44,"Male",14,"Cloudy"
526,310,8,29,"Female",12,"Cloudy"
274,403,4,38,"Female",11,"Cloudy"
427,386,6,41,"Female",17,"Cloudy"
589,267,13,27,"Female",10,"Cloudy"
135,385,7,35,"Female",6,"Sunny"
287,390,3,39,"Female",14,"Sunny"
225,419,3,46,"Female",9,"Light Rain"
337,287,8,34,"Female",8,"Light Rain"
593,221,12,24,"Female",7,"Cloudy"
596,300,10,28,"Male",14,"Cloudy"
536,309,9,38,"Female",7,"Cloudy"
369,396,6,41,"Male",8,"Sunny"
572,230,11,36,"Female",14,"Cloudy"
336,246,7,16,"Female",8,"Cloudy"
524,332,3,43,"Male",8,"Sunny"
173,230,10,22,"Female",11,"Cloudy"
72,204,8,18,"Male",9,"Cloudy"
63,383,6,38,"Female",10,"Sunny"
479,370,5,40,"Female",10,"Sunny"
218,387,6,38,"Female",12,"Sunny"
469,351,5,32,"Female",7,"Sunny"
387,276,5,33,"Male",7,"Sunny"
418,421,6,32,"Male",13,"Sunny"
224,390,8,32,"Female",9,"Sunny"
220,179,11,33,"Female",7,"Cloudy"
501,345,6,39,"Female",7,"Sunny"
322,310,5,38,"Male",8,"Cloudy"
102,276,6,23,"Female",12,"Light Rain"
6,439,3,38,"Female",11,"Sunny"
159,344,6,37,"Female",8,"Sunny"
433,310,6,16,"Female",16,"Sunny"
447,375,9,62,"Female",12,"Sunny"
491,261,12,39,"Female",10,"Cloudy"
551,387,6,41,"Male",6,"Sunny"
21,287,10,37,"Male",17,"Sunny"
273,258,3,27,"Male",5,"Light Rain"
548,282,10,45,"Female",10,"Light Rain"
397,291,5,33,"Male",7,"Cloudy"
419,371,7,39,"Female",14,"Sunny"
350,328,8,45,"Male",10,"Sunny"
564,316,5,26,"Male",8,"Sunny"
259,354,7,33,"Male",13,"Light Rain"
207,194,6,26,"Female",4,"Sunny"
203,384,8,45,"Female",7,"Sunny"
553,323,7,45,"Female",7,"Sunny"
414,292,7,34,"Female",9,"Sunny"
338,332,8,46,"Male",4,"Cloudy"
327,103,17,37,"Male",11,"Sunny"
595,256,4,40,"Other",9,"Cloudy"
540,412,5,38,"Male",9,"Heavy Rain"
580,358,7,34,"Other",7,"Cloudy"
334,362,10,38,"Other",7,"Cloudy"
352,234,12,36,"Male",11,"Sunny"
182,411,6,38,"Other",11,"Light Rain"
587,332,5,25,"Female",10,"Sunny"
62,458,4,42,"Other",10,"Light Rain"
193,280,13,48,"Male",12,"Sunny"
244,271,8,23,"Male",12,"Cloudy"
496,234,14,43,"Female",9,"Light Rain"
238,289,10,39,"Male",13,"Sunny"
71,445,9,59,"Female",10,"Light Rain"
42,302,6,45,"Female",14,"Cloudy"
486,408,4,29,"Female",11,"Sunny"
205,283,6,20,"Female",10,"Cloudy"
239,282,4,29,"Male",7,"Cloudy"
437,393,4,41,"Male",9,"Cloudy"
458,331,9,33,"Female",10,"Cloudy"
76,291,5,29,"Male",9,"Sunny"
316,223,9,9,"Female",8,"Sunny"
363,433,10,55,"Male",12,"Sunny"
559,448,7,36,"Female",13,"Cloudy"
48,288,7,29,"Female",12,"Light Rain"
393,349,8,47,"Male",11,"Light Rain"
378,283,5,22,"Male",7,"Cloudy"
560,524,2,51,"Female",17,"Cloudy"
408,275,4,26,"Male",9,"Sunny"
51,391,3,45,"Male",10,"Cloudy"
362,349,5,49,"Female",8,"Sunny"
520,288,9,23,"Female",11,"Cloudy"
73,271,8,30,"Female",19,"Sunny"
522,349,6,42,"Female",12,"Sunny"
272,391,1,20,"Male",14,"Cloudy"
264,274,12,50,"Male",9,"Light Rain"
406,360,7,41,"Female",11,"Light Rain"
592,423,3,41,"Female",2,"Light Rain"
561,399,3,44,"Female",3,"Cloudy"
186,328,7,43,"Female",9,"Cloudy"
481,434,5,43,"Female",12,"Light Rain"
82,380,8,37,"Female",12,"Sunny"
117,313,7,34,"Female",8,"Light Rain"
46,369,4,17,"Female",10,"Sunny"
435,334,5,34,"Female",5,"Sunny"
88,322,10,24,"Female",12,"Sunny"
279,293,3,20,"Male",8,"Cloudy"
505,393,6,38,"Male",8,"Light Rain"
494,200,8,38,"Female",6,"Cloudy"
388,335,5,40,"Male",9,"Light Rain"
373,311,10,39,"Female",12,"Light Rain"
139,293,13,13,"Female",12,"Cloudy"
307,410,4,28,"Female",9,"Cloudy"
530,317,6,21,"Female",11,"Light Rain"
518,255,9,47,"Male",5,"Cloudy"
339,427,8,41,"Male",4,"Cloudy"
446,209,8,13,"Male",15,"Light Rain"
241,167,7,32,"Female",5,"Sunny"
81,308,5,35,"Male",7,"Sunny"
364,219,6,35,"Male",-999,"Sunny"
346,315,6,44,"Female",8,"Cloudy"
149,283,5,14,"Male",9,"Light Rain"
439,365,4,34,"Female",12,"Cloudy"
30,343,4,35,"Male",7,"Cloudy"
490,226,10,28,"Female",5,"Sunny"
216,285,8,28,"Female",12,"Light Rain"
423,309,7,41,"Male",10,"Cloudy"
438,343,7,34,"Female",6,"Cloudy"
53,362,9,31,"Other",11,"Sunny"
17,300,5,34,"Male",11,"Cloudy"
311,309,6,31,"Male",6,"Light Rain"
143,473,2,42,"Female",13,"Cloudy"
252,324,5,27,"Female",7,"Cloudy"
127,453,4,59,"Female",14,"Sunny"
405,283,6,21,"Female",7,"Light Rain"
169,318,6,36,"Male",-999,"Cloudy"
237,440,5,47,"Male",11,"Light Rain"
565,424,8,33,"Female",15,"Light Rain"
118,256,12,39,"Male",-999,"Light Rain"
261,191,11,27,"Female",15,"Cloudy"
457,268,9,45,"Male",5,"Cloudy"
129,406,4,51,"Female",9,"Sunny"
231,289,8,41,"Female",9,"Sunny"
16,204,10,42,"Other",10,"Sunny"
386,277,11,31,"Female",9,"Cloudy"
533,381,6,43,"Male",4,"Cloudy"
77,372,6,25,"Female",14,"Sunny"
150,250,9,19,"Female",8,"Sunny"
290,329,8,22,"Female",5,"Sunny"
184,309,5,36,"Female",12,"Light Rain"
288,370,5,27,"Male",9,"Cloudy"
599,272,10,39,"Male",12,"Sunny"
37,311,9,21,"Male",11,"Sunny"
515,329,9,38,"Male",15,"Cloudy"
100,327,7,31,"Female",8,"Cloudy"
588,241,8,29,"Male",7,"Sunny"
201,430,5,29,"Female",-999,"Sunny"
50,233,10,33,"Female",9,"Sunny"
177,357,6,52,"Female",9,"Cloudy"
39,306,6,44,"Male",11,"Sunny"
286,337,6,33,"Male",10,"Sunny"
185,346,7,42,"Male",12,"Sunny"
411,362,6,46,"Female",9,"Cloudy"
459,360,4,15,"Female",7,"Sunny"
477,317,8,35,"Other",15,"Sunny"
380,257,12,28,"Male",6,"Cloudy"
301,376,9,46,"Male",14,"Sunny"
172,288,5,32,"Male",14,"Sunny"
305,327,8,43,"Male",11,"Sunny"
236,357,6,43,"Male",12,"Sunny"
318,258,5,28,"Female",7,"Sunny"
359,359,6,43,"Female",15,"Sunny"
532,340,8,29,"Female",6,"Sunny"
8,291,10,37,"Female",10,"Cloudy"
69,244,9,44,"Other",9,"Light Rain"
568,287,9,46,"Male",7,"Cloudy"
302,390,2,35,"Female",13,"Sunny"
